Cluster,mat_file_name,X_c,Y_c,lon_c,lat_c,road,suburb,city,county,state,postcode,site name
Cluster 17131,3_4.5__TMCMC_2000_old.mat,1805157.802352133,5813127.4859902365,175.3304395428425,-37.8062115,Cambridge Road,N/A,Hamilton City,Waikato District,Waikato,3251,N/A_Cambridge Road
Cluster 17131,3_4.5__TMCMC_2000.mat,1805157.802352133,5813127.4859902365,175.3304395428425,-37.8062115,Cambridge Road,N/A,Hamilton City,Waikato District,Waikato,3251,N/A_Cambridge Road
Cluster 17131,3_4.5__TMCMC_2000_old.mat,1805157.802352133,5813127.4859902365,175.3304395428425,-37.8062115,Cambridge Road,N/A,Hamilton City,Waikato District,Waikato,3251,N/A_Cambridge Road
Cluster 18705,1_3__TMCMC_2000.mat,1405760.970303899,4916802.373978272,170.49710913641442,-45.87492793,Bishops Road,Dunedin Central,Dunedin,Dunedin City,Otago,9016,Dunedin Central_Bishops Road
Cluster 19102,3_8__TMCMC_2000.mat,1573791.82,5182196.686913676,172.67575128532442,-43.5127039,Bideford Place,Dallington,Christchurch,Christchurch City,Canterbury,8061,Dallington_Bideford Place
Cluster 19103,2.1_3__TMCMC_2000.mat,1571546.7896071426,5182236.676928572,172.6479782639726,-43.51226169,Geraldine Street,Edgeware,Christchurch,Christchurch City,Canterbury,8013,Edgeware_Geraldine Street
Cluster 19103,2.1_3__TMCMC_2000_old.mat,1571546.7896071426,5182236.676928572,172.6479782639726,-43.51226169,Geraldine Street,Edgeware,Christchurch,Christchurch City,Canterbury,8013,Edgeware_Geraldine Street
Cluster 19103,2.1_3__TMCMC_2000.mat,1571546.7896071426,5182236.676928572,172.6479782639726,-43.51226169,Geraldine Street,Edgeware,Christchurch,Christchurch City,Canterbury,8013,Edgeware_Geraldine Street
Cluster 19103,2.1_3__TMCMC_2000_old.mat,1571546.7896071426,5182236.676928572,172.6479782639726,-43.51226169,Geraldine Street,Edgeware,Christchurch,Christchurch City,Canterbury,8013,Edgeware_Geraldine Street
Cluster 19108,1.9_3__TMCMC_2000.mat,1574965.725,5183716.211775689,172.6903446198628,-43.49906212,Heriott Close,Burwood,Christchurch,Christchurch City,Canterbury,8061,Burwood_Heriott Close
Cluster 19150,12_12.5__TMCMC_2000.mat,1577156.144314576,5183290.074280796,172.71742024597566,-43.50296931,Sinclair Street,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Sinclair Street
Cluster 19150,12_15__TMCMC_2000.mat,1577156.144314576,5183290.074280796,172.71742024597566,-43.50296931,Sinclair Street,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Sinclair Street
Cluster 19150,12_18__TMCMC_2000.mat,1577156.144314576,5183290.074280796,172.71742024597566,-43.50296931,Sinclair Street,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Sinclair Street
Cluster 19150,12_12.5__TMCMC_2000.mat,1577156.144314576,5183290.074280796,172.71742024597566,-43.50296931,Sinclair Street,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Sinclair Street
Cluster 19150,12_15__TMCMC_2000.mat,1577156.144314576,5183290.074280796,172.71742024597566,-43.50296931,Sinclair Street,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Sinclair Street
Cluster 19150,12_18__TMCMC_2000.mat,1577156.144314576,5183290.074280796,172.71742024597566,-43.50296931,Sinclair Street,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Sinclair Street
Cluster 19150,12_12.5__TMCMC_2000.mat,1577156.144314576,5183290.074280796,172.71742024597566,-43.50296931,Sinclair Street,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Sinclair Street
Cluster 19150,12_15__TMCMC_2000.mat,1577156.144314576,5183290.074280796,172.71742024597566,-43.50296931,Sinclair Street,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Sinclair Street
Cluster 19150,12_18__TMCMC_2000.mat,1577156.144314576,5183290.074280796,172.71742024597566,-43.50296931,Sinclair Street,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Sinclair Street
Cluster 19273,3.6_5.6__TMCMC_2000.mat,1570642.1685309298,5180745.946895207,172.63670602839176,-43.52564935,Colombo Street,Central City,Christchurch,Christchurch City,Canterbury,8013,Central City_Colombo Street
Cluster 19340,1.5_3.5__TMCMC_2000.mat,1570282.436143123,5180697.833798594,172.63225191069537,-43.52606834,Kilmore Street,Central City,Christchurch,Christchurch City,Canterbury,8011,Central City_Kilmore Street
Cluster 19398,2_4__TMCMC_2000.mat,1879562.4355220434,5819730.578521821,176.1720462667276,-37.72705028,Welcome Bay Road,Hairini,Tauranga,Tauranga City,Bay of Plenty,3112,Hairini_Welcome Bay Road
Cluster 19398,2_7.5__TMCMC_2000.mat,1879562.4355220434,5819730.578521821,176.1720462667276,-37.72705028,Welcome Bay Road,Hairini,Tauranga,Tauranga City,Bay of Plenty,3112,Hairini_Welcome Bay Road
Cluster 19398,2_4__TMCMC_2000.mat,1879562.4355220434,5819730.578521821,176.1720462667276,-37.72705028,Welcome Bay Road,Hairini,Tauranga,Tauranga City,Bay of Plenty,3112,Hairini_Welcome Bay Road
Cluster 19398,2_7.5__TMCMC_2000.mat,1879562.4355220434,5819730.578521821,176.1720462667276,-37.72705028,Welcome Bay Road,Hairini,Tauranga,Tauranga City,Bay of Plenty,3112,Hairini_Welcome Bay Road
